Tweet_Id,Datetime,Text,Likes,Retweets,Location
1598466952309211136,2022-12-01 23:59:54+00:00,"If y’all are throwing out any Balenciaga, especially size L shirts or a size 12 for shoes, please bring it to me so I can dispose of it",2,0,"Los Angeles, CA"
1598466908008980480,2022-12-01 23:59:43+00:00,"#75 live at 8pm EST on this page. So many things to talk about including Balenciaga, climate change activism etc. https://t.co/tJkfjNvyKg",0,0,Montreal
1598466875947880448,2022-12-01 23:59:35+00:00,"@BaileyUnspoken @RealTalkPerson @KimKardashian @RealTristan13 But she literally ONLY wears balenciaga. If Balenciaga had done something less serious I could agree with you, but this is literal CHILD PORNOGRAPHY. The campaign would have had to be approved by so many people at Balenciaga. This involves the whole company.",0,0,Riverside Estates
1598466874303463426,2022-12-01 23:59:35+00:00,@kanyewest DEMNA! Lead Designer of Balenciaga! Get him out.,0,0,"Houston, TX"
1598466848319750144,2022-12-01 23:59:29+00:00,Kanye out here burying Balenciaga news tired 😴,0,0,"Manchester, England"
1598466846080262144,2022-12-01 23:59:28+00:00,Thank God I didn’t end up buying them balenciaga sneakers last year,0,0,Sydney / Nairobi / Harare
1598466840992579584,2022-12-01 23:59:27+00:00,@mmpadellan With the drama at Balenciaga and Democrats mad at Elon Musk removing pedo sights. It like the Democrats are trying to normalize pedophilia. I’m so disgusted right now!!,3,0,
1598466839293599745,2022-12-01 23:59:27+00:00,@kanyewest We love Demna. He's not Balenciaga CEO.,0,0,
1598466829797687298,2022-12-01 23:59:24+00:00,@vikare06 Looks like a balenciaga photo shoot,2,0,Hyde Park 
1598466786244317184,2022-12-01 23:59:14+00:00,@DestinyVaughn @M4D3R0 @ksenijapavlovic @MikhailaFuller @BALENCIAGA @KimKardashian The photos are above,0,0,"New York, NY / Manahatta"
1598466770121396224,2022-12-01 23:59:10+00:00,@nyetengale @born2shinez Aren’t these Balenciaga models?,0,0,
1598466707957374976,2022-12-01 23:58:55+00:00,"I could careless about Kanye and his prerogative. If you’re more upset about Kanye, than you are at the fact 
WE STILL DONT KNOW WHO WAS ON EPSTEINS FLIGHT LOGS. 
ESPECIALLY after this Balenciaga Scandal.

Tells me you enjoy the orchestrated manufactured hype.",34,1,
1598466699233484801,2022-12-01 23:58:53+00:00,after #balenciaga we need to bring attention to #hollywood,0,0,Chinafornia 
1598466697220227072,2022-12-01 23:58:53+00:00,@_AlvinChristian @asv141 @balenciaga hire this man,2,0,
1598466669218861057,2022-12-01 23:58:46+00:00,Kim K standing behind Balenciaga absolutely SUCKS and is awful and money hungry… but why are we bringing Kanye into this? They’re both wrong. He just said he loves Hitler.,263,7,
1598466666828292098,2022-12-01 23:58:46+00:00,@jackantonoff #Balenciaga distractions. https://t.co/NBEDpZFKqA,0,0,
1598466648562077696,2022-12-01 23:58:41+00:00,@prime98704851 @Woundedsheepdog @_BarringtonII I didn’t say you did - was just asking how that cancels balenciagas bs 🤷‍♀️ the world is a crazy place,0,0,"Maine, USA"
1598466632380485632,2022-12-01 23:58:37+00:00,Balenciaga. Terrible choice of advertisements and for that I’m out https://t.co/JvZAzq1nQv,1,0,
1598466588386156546,2022-12-01 23:58:27+00:00,"""Ugh, it's so good."" Seriously, even before you layer in the Satanic references, the cult of Balenciaga is a lazy hedonist's paradise of cheap pop cultural nostalgia distilled by Hollywood over the past quarter century. https://t.co/wf1Z0EUQgS",1,0,
1598466586826149888,2022-12-01 23:58:27+00:00,"@DonaldJTrumpJr I’m sure a lot more people are eating Goya products, then wearing Balenciaga, too",0,0,
